Gear: Cannondale SuperSix
right_torque_effectiveness: 0.0 percent
speed: 4.534 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:22

cadence: 42 rpm
calories: 0 kcal
distance: 97.12 m
enhanced_speed: 4.563 m/s
gps_accuracy: 2 m
heart_rate: 86 bpm
left_pedal_smoothness: 0.0 percent
left_right_balance: 100
position_lat: -303068399 semicircles
position_long: -587528092 semicircles
power: 0 watts
right_pedal_smoothness: 0.0 percent
right_torque_effectiveness: 14.0 percent
speed: 4.563 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:23

cadence: 45 rpm
calories: 0 kcal
distance: 101.8 m
enhanced_speed: 4.708 m/s
gps_accuracy: 2 m
heart_rate: 86 bpm
left_pedal_smoothness: 0.0 percent
left_right_balance: 100
position_lat: -303068876 semicircles
position_long: -587527910 semicircles
power: 0 watts
right_pedal_smoothness: 0.0 percent
right_torque_effectiveness: 28.0 percent
speed: 4.708 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:24

cadence: 46 rpm
calories: 0 kcal
distance: 106.55 m
enhanced_speed: 4.762 m/s
gps_accuracy: 2 m
heart_rate: 87 bpm
left_pedal_smoothness: 0.0 percent
left_right_balance: 100
position_lat: -303069367 semicircles
position_long: -587527753 semicircles
power: 0 watts
right_pedal_smoothness: 0.0 percent
right_torque_effectiveness: 42.5 percent
speed: 4.762 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:25

cadence: 47 rpm
calories: 0 kcal
distance: 111.17 m
enhanced_speed: 4.826 m/s
gps_accuracy: 2 m
heart_rate: 87 bpm
left_pedal_smoothness: 3.5 percent
left_right_balance: 100
position_lat: -303069855 semicircles
position_long: -587527644 semicircles
power: 99 watts
right_pedal_smoothness: 3.5 percent
right_torque_effectiveness: 56.5 percent
speed: 4.826 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:26

cadence: 47 rpm
calories: 0 kcal
distance: 115.78 m
enhanced_speed: 4.715 m/s
gps_accuracy: 2 m
heart_rate: 88 bpm
left_pedal_smoothness: 13.5 percent
left_right_balance: 87
position_lat: -303070347 semicircles
position_long: -587527554 semicircles
power: 202 watts
right_pedal_smoothness: 15.0 percent
right_torque_effectiveness: 70.5 percent
speed: 4.715 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:27

cadence: 43 rpm
calories: 0 kcal
distance: 120.62 m
enhanced_speed: 4.771 m/s
gps_accuracy: 2 m
heart_rate: 89 bpm
left_pedal_smoothness: 23.5 percent
left_right_balance: 50
left_torque_effectiveness: 85.5 percent
position_lat: -303070860 semicircles
position_long: -587527509 semicircles
power: 232 watts
right_pedal_smoothness: 26.0 percent
right_torque_effectiveness: 84.5 percent
speed: 4.771 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:28

cadence: 28 rpm
calories: 0 kcal
distance: 125.6 m
enhanced_speed: 4.92 m/s
gps_accuracy: 2 m
heart_rate: 90 bpm
left_pedal_smoothness: 22.5 percent
left_right_balance: 44
left_torque_effectiveness: 75.0 percent
position_lat: -303071395 semicircles
position_long: -587527485 semicircles
power: 155 watts
right_pedal_smoothness: 28.0 percent
right_torque_effectiveness: 87.0 percent
speed: 4.92 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:29

cadence: 14 rpm
calories: 0 kcal
distance: 130.58 m
enhanced_speed: 4.784 m/s
gps_accuracy: 2 m
heart_rate: 91 bpm
left_pedal_smoothness: 19.0 percent
left_right_balance: 37
left_torque_effectiveness: 64.0 percent
position_lat: -303071940 semicircles
position_long: -587527464 semicircles
power: 78 watts
right_pedal_smoothness: 27.5 percent
right_torque_effectiveness: 86.5 percent
speed: 4.784 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:30

cadence: 0 rpm
calories: 0 kcal
distance: 135.22 m
enhanced_speed: 4.472 m/s
gps_accuracy: 2 m
heart_rate: 92 bpm
left_pedal_smoothness: 15.5 percent
left_right_balance: 30
left_torque_effectiveness: 53.5 percent
position_lat: -303072442 semicircles
position_long: -587527488 semicircles
power: 0 watts
right_pedal_smoothness: 27.5 percent
right_torque_effectiveness: 86.0 percent
speed: 4.472 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:31

cadence: 0 rpm
calories: 0 kcal
distance: 139.67 m
enhanced_speed: 4.383 m/s
gps_accuracy: 2 m
heart_rate: 92 bpm
left_pedal_smoothness: 12.5 percent
left_right_balance: 23
left_torque_effectiveness: 43.0 percent
position_lat: -303072922 semicircles
position_long: -587527509 semicircles
power: 0 watts
right_pedal_smoothness: 27.0 percent
right_torque_effectiveness: 86.0 percent
speed: 4.383 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:32

cadence: 0 rpm
calories: 0 kcal
distance: 143.95 m
enhanced_speed: 4.231 m/s
gps_accuracy: 2 m
heart_rate: 93 bpm
left_pedal_smoothness: 9.0 percent
left_right_balance: 17
left_torque_effectiveness: 32.5 percent
position_lat: -303073380 semicircles
position_long: -587527534 semicircles
power: 0 watts
right_pedal_smoothness: 27.0 percent
right_torque_effectiveness: 85.5 percent
speed: 4.231 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:33

cadence: 6 rpm
calories: 0 kcal
distance: 148.15 m
enhanced_speed: 4.121 m/s
gps_accuracy: 2 m
heart_rate: 94 bpm
left_pedal_smoothness: 6.0 percent
left_right_balance: 10
left_torque_effectiveness: 21.5 percent
position_lat: -303073825 semicircles
position_long: -587527605 semicircles
power: 14 watts
right_pedal_smoothness: 27.0 percent
right_torque_effectiveness: 85.5 percent
speed: 4.121 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:34

cadence: 47 rpm
calories: 0 kcal
distance: 152.36 m
enhanced_speed: 4.136 m/s
gps_accuracy: 2 m
heart_rate: 94 bpm
left_pedal_smoothness: 2.5 percent
left_right_balance: 3
left_torque_effectiveness: 11.0 percent
position_lat: -303074265 semicircles
position_long: -587527695 semicircles
power: 128 watts
right_pedal_smoothness: 26.5 percent
right_torque_effectiveness: 85.0 percent
speed: 4.136 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:35

cadence: 46 rpm
calories: 0 kcal
distance: 156.66 m
enhanced_speed: 4.36 m/s
gps_accuracy: 2 m
heart_rate: 94 bpm
left_pedal_smoothness: 2.0 percent
left_right_balance: 7
left_torque_effectiveness: 9.0 percent
position_lat: -303074714 semicircles
position_long: -587527808 semicircles
power: 131 watts
right_pedal_smoothness: 25.5 percent
right_torque_effectiveness: 83.0 percent
speed: 4.36 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:36

cadence: 45 rpm
calories: 0 kcal
distance: 161.6 m
enhanced_speed: 5.017 m/s
gps_accuracy: 2 m
heart_rate: 94 bpm
left_pedal_smoothness: 6.0 percent
left_right_balance: 20
left_torque_effectiveness: 24.5 percent
position_lat: -303075240 semicircles
position_long: -587527921 semicircles
power: 134 watts
right_pedal_smoothness: 23.0 percent
right_torque_effectiveness: 77.0 percent
speed: 5.017 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:37

cadence: 48 rpm
calories: 0 kcal
distance: 167.27 m
enhanced_speed: 5.507 m/s
gps_accuracy: 2 m
heart_rate: 94 bpm
left_pedal_smoothness: 10.0 percent
left_right_balance: 34
left_torque_effectiveness: 40.0 percent
position_lat: -303075842 semicircles
position_long: -587528063 semicircles
power: 161 watts
right_pedal_smoothness: 20.5 percent
right_torque_effectiveness: 71.0 percent
speed: 5.507 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:38

cadence: 42 rpm
calories: 0 kcal
distance: 173.27 m
enhanced_speed: 5.642 m/s
gps_accuracy: 3 m
heart_rate: 95 bpm
left_pedal_smoothness: 16.5 percent
left_right_balance: 47
left_torque_effectiveness: 58.0 percent
position_lat: -303076471 semicircles
position_long: -587528221 semicircles
power: 150 watts
right_pedal_smoothness: 22.5 percent
right_torque_effectiveness: 75.0 percent
speed: 5.642 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:39

cadence: 29 rpm
calories: 0 kcal
distance: 179.3 m
enhanced_speed: 5.756 m/s
gps_accuracy: 2 m
heart_rate: 95 bpm
left_pedal_smoothness: 19.0 percent
left_right_balance: 49
left_torque_effectiveness: 66.0 percent
position_lat: -303077108 semicircles
position_long: -587528357 semicircles
power: 103 watts
right_pedal_smoothness: 23.0 percent
right_torque_effectiveness: 74.5 percent
speed: 5.756 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:40

cadence: 15 rpm
calories: 0 kcal
distance: 185.18 m
enhanced_speed: 5.586 m/s
gps_accuracy: 2 m
heart_rate: 95 bpm
left_pedal_smoothness: 19.5 percent
left_right_balance: 49
left_torque_effectiveness: 67.5 percent
position_lat: -303077731 semicircles
position_long: -587528493 semicircles
power: 55 watts
right_pedal_smoothness: 22.0 percent
right_torque_effectiveness: 70.0 percent
speed: 5.586 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:41

cadence: 2 rpm
calories: 0 kcal
distance: 190.86 m
enhanced_speed: 5.279 m/s
gps_accuracy: 2 m
heart_rate: 96 bpm
left_pedal_smoothness: 20.0 percent
left_right_balance: 49
left_torque_effectiveness: 69.0 percent
position_lat: -303078334 semicircles
position_long: -587528581 semicircles
power: 0 watts
right_pedal_smoothness: 20.5 percent
right_torque_effectiveness: 65.5 percent
speed: 5.279 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:42

cadence: 0 rpm
calories: 0 kcal
distance: 196.07 m
enhanced_speed: 4.606 m/s
gps_accuracy: 2 m
heart_rate: 96 bpm
left_pedal_smoothness: 20.5 percent
left_right_balance: 49
left_torque_effectiveness: 70.5 percent
position_lat: -303078890 semicircles
position_long: -587528676 semicircles
power: 0 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 61.5 percent
speed: 4.606 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:43

cadence: 0 rpm
calories: 0 kcal
distance: 200.29 m
enhanced_speed: 3.479 m/s
gps_accuracy: 2 m
heart_rate: 97 bpm
left_pedal_smoothness: 20.5 percent
left_right_balance: 49
left_torque_effectiveness: 72.0 percent
position_lat: -303079335 semicircles
position_long: -587528763 semicircles
power: 0 watts
right_pedal_smoothness: 18.0 percent
right_torque_effectiveness: 57.0 percent
speed: 3.479 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:44

cadence: 0 rpm
calories: 0 kcal
distance: 203.4 m
enhanced_speed: 2.277 m/s
gps_accuracy: 2 m
heart_rate: 97 bpm
left_pedal_smoothness: 21.0 percent
left_right_balance: 49
left_torque_effectiveness: 73.5 percent
position_lat: -303079661 semicircles
position_long: -587528784 semicircles
power: 0 watts
right_pedal_smoothness: 16.5 percent
right_torque_effectiveness: 52.5 percent
speed: 2.277 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:45

cadence: 0 rpm
calories: 0 kcal
distance: 205.41 m
enhanced_speed: 1.789 m/s
gps_accuracy: 2 m
heart_rate: 97 bpm
left_pedal_smoothness: 21.5 percent
left_right_balance: 49
left_torque_effectiveness: 75.0 percent
position_lat: -303079874 semicircles
position_long: -587528808 semicircles
power: 0 watts
right_pedal_smoothness: 15.0 percent
right_torque_effectiveness: 48.5 percent
speed: 1.789 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:46

cadence: 0 rpm
calories: 0 kcal
distance: 206.09 m
enhanced_speed: 0.604 m/s
gps_accuracy: 2 m
heart_rate: 98 bpm
left_pedal_smoothness: 22.5 percent
left_right_balance: 49
left_torque_effectiveness: 79.5 percent
position_lat: -303080121 semicircles
position_long: -587528689 semicircles
power: 0 watts
right_pedal_smoothness: 11.0 percent
right_torque_effectiveness: 35.5 percent
speed: 0.604 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:49

altitude: 944.8 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 206.55 m
enhanced_altitude: 944.8 m
enhanced_speed: 1.01 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 99 bpm
left_pedal_smoothness: 23.0 percent
left_right_balance: 49
left_torque_effectiveness: 81.0 percent
position_lat: -303080164 semicircles
position_long: -587528598 semicircles
power: 0 watts
right_pedal_smoothness: 9.5 percent
right_torque_effectiveness: 31.0 percent
speed: 1.01 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:50

altitude: 944.8 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 207.66 m
enhanced_altitude: 944.8 m
enhanced_speed: 1.094 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 99 bpm
left_pedal_smoothness: 23.5 percent
left_right_balance: 49
left_torque_effectiveness: 82.5 percent
position_lat: -303080187 semicircles
position_long: -587528461 semicircles
power: 0 watts
right_pedal_smoothness: 8.5 percent
right_torque_effectiveness: 26.5 percent
speed: 1.094 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:51

altitude: 944.8 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 209.43 m
enhanced_altitude: 944.8 m
enhanced_speed: 1.604 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 99 bpm
left_pedal_smoothness: 23.5 percent
left_right_balance: 49
left_torque_effectiveness: 84.0 percent
position_lat: -303080257 semicircles
position_long: -587528255 semicircles
power: 0 watts
right_pedal_smoothness: 7.0 percent
right_torque_effectiveness: 22.5 percent
speed: 1.604 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:52

altitude: 945.0 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 211.74 m
enhanced_altitude: 945.0 m
enhanced_speed: 2.119 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 101 bpm
left_pedal_smoothness: 24.0 percent
left_right_balance: 49
left_torque_effectiveness: 85.5 percent
position_lat: -303080431 semicircles
position_long: -587528075 semicircles
power: 0 watts
right_pedal_smoothness: 5.5 percent
right_torque_effectiveness: 18.0 percent
speed: 2.119 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:53

altitude: 945.0 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 214.45 m
enhanced_altitude: 945.0 m
enhanced_speed: 2.579 m/s
gps_accuracy: 2 m
grade: 0.23 %
heart_rate: 101 bpm
left_pedal_smoothness: 24.5 percent
left_right_balance: 49
left_torque_effectiveness: 87.0 percent
position_lat: -303080703 semicircles
position_long: -587527963 semicircles
power: 0 watts
right_pedal_smoothness: 4.0 percent
right_torque_effectiveness: 13.5 percent
speed: 2.579 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:54

altitude: 945.0 m
ascent: 0 m
cadence: 26 rpm
calories: 1 kcal
distance: 217.56 m
enhanced_altitude: 945.0 m
enhanced_speed: 2.974 m/s
gps_accuracy: 2 m
grade: 0.76 %
heart_rate: 102 bpm
left_pedal_smoothness: 24.5 percent
left_right_balance: 49
left_torque_effectiveness: 88.5 percent
position_lat: -303081022 semicircles
position_long: -587527895 semicircles
power: 191 watts
right_pedal_smoothness: 3.0 percent
right_torque_effectiveness: 9.5 percent
speed: 2.974 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:55

altitude: 945.0 m
ascent: 0 m
cadence: 29 rpm
calories: 1 kcal
distance: 220.86 m
enhanced_altitude: 945.0 m
enhanced_speed: 3.19 m/s
gps_accuracy: 2 m
grade: 0.93 %
heart_rate: 102 bpm
left_pedal_smoothness: 25.0 percent
left_right_balance: 49
left_torque_effectiveness: 90.0 percent
position_lat: -303081346 semicircles
position_long: -587527777 semicircles
power: 189 watts
right_pedal_smoothness: 1.5 percent
right_torque_effectiveness: 5.0 percent
speed: 3.19 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:56

altitude: 945.0 m
ascent: 0 m
cadence: 33 rpm
calories: 1 kcal
distance: 224.67 m
enhanced_altitude: 945.0 m
enhanced_speed: 3.647 m/s
gps_accuracy: 2 m
grade: 0.65 %
heart_rate: 103 bpm
left_pedal_smoothness: 25.5 percent
left_right_balance: 49
left_torque_effectiveness: 91.5 percent
position_lat: -303081714 semicircles
position_long: -587527570 semicircles
power: 188 watts
right_pedal_smoothness: 0.0 percent
right_torque_effectiveness: 0.5 percent
speed: 3.647 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:57

altitude: 945.0 m
ascent: 0 m
cadence: 36 rpm
calories: 1 kcal
distance: 228.94 m
enhanced_altitude: 945.0 m
enhanced_speed: 4.189 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 103 bpm
left_pedal_smoothness: 24.0 percent
left_right_balance: 48
left_torque_effectiveness: 87.5 percent
position_lat: -303082114 semicircles
position_long: -587527324 semicircles
power: 179 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 59.0 percent
speed: 4.189 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:58

altitude: 945.0 m
ascent: 0 m
cadence: 39 rpm
calories: 1 kcal
distance: 233.58 m
enhanced_altitude: 945.0 m
enhanced_speed: 4.528 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 104 bpm
left_pedal_smoothness: 22.5 percent
left_right_balance: 49
left_torque_effectiveness: 79.5 percent
position_lat: -303082532 semicircles
position_long: -587527007 semicircles
power: 156 watts
right_pedal_smoothness: 27.5 percent
right_torque_effectiveness: 85.0 percent
speed: 4.528 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:59

altitude: 945.0 m
ascent: 0 m
cadence: 42 rpm
calories: 1 kcal
distance: 238.53 m
enhanced_altitude: 945.0 m
enhanced_speed: 4.768 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 104 bpm
left_pedal_smoothness: 20.0 percent
left_right_balance: 48
left_torque_effectiveness: 68.0 percent
position_lat: -303082974 semicircles
position_long: -587526659 semicircles
power: 116 watts
right_pedal_smoothness: 26.5 percent
right_torque_effectiveness: 83.5 percent
speed: 4.768 m/s
temperature: 15 C
timestamp: 2020-11-12 09:57:00

altitude: 944.8 m
ascent: 0 m
cadence: 44 rpm
calories: 1 kcal
distance: 243.47 m
enhanced_altitude: 944.8 m
enhanced_speed: 4.977 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 104 bpm
left_pedal_smoothness: 16.5 percent
left_right_balance: 46
left_torque_effectiveness: 55.0 percent
position_lat: -303083399 semicircles
position_long: -587526323 semicircles
power: 112 watts
right_pedal_smoothness: 23.5 percent
right_torque_effectiveness: 79.0 percent
speed: 4.977 m/s
temperature: 15 C
timestamp: 2020-11-12 09:57:01

altitude: 944.8 m
ascent: 0 m
cadence: 47 rpm
calories: 2 kcal
distance: 248.46 m
enhanced_altitude: 944.8 m
enhanced_speed: 5.046 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 104 bpm
left_pedal_smoothness: 18.0 percent
left_right_balance: 49
left_torque_effectiveness: 60.5 percent
position_lat: -303083822 semicircles
position_long: -587525967 semicircles
power: 83 watts
right_pedal_smoothness: 21.0 percent
right_torque_effectiveness: 69.0 percent
speed: 5.046 m/s
temperature: 15 C
timestamp: 2020-11-12 09:57:02

altitude: 944.8 m
ascent: 0 m
cadence: 47 rpm
calories: 2 kcal
distance: 253.55 m
enhanced_altitude: 944.8 m
enhanced_speed: 4.938 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 104 bpm
left_pedal_smoothness: 18.5 percent
left_right_balance: 51
left_torque_effectiveness: 61.0 percent
position_lat: -303084258 semicircles
position_long: -587525599 semicircles
power: 70 watts
right_pedal_smoothness: 20.0 percent
right_torque_effectiveness: 65.0 percent
speed: 4.938 m/s
temperature: 15 C
timestamp: 2020-11-12 09:57:03

altitude: 944.8 m
ascent: 0 m
cadence: 47 rpm
calories: 2 kcal
distance: 258.62 m
enhanced_altitude: 944.8 m
enhanced_speed: 4.864 m/s
gps_accuracy: 2 m
grade: -0.24 %
heart_rate: 104 bpm
left_pedal_smoothness: 18.0 percent
left_right_balance: 53
left_torque_effectiveness: 59.0 percent
position_lat: -303084683 semicircles
position_long: -587525208 semicircles
power: 59 watts
right_pedal_smoothness: 20.0 percent
right_torque_effectiveness: 65.0 percent
speed: 4.864 m/s
temperature: 15 C
timestamp: 2020-11-12 09:57:04

altitude: 944.8 m
ascent: 0 m
cadence: 47 rpm
calories: 2 kcal
distance: 263.69 m
enhanced_altitude: 944.8 m
enhanced_speed: 4.85 m/s
gps_accuracy: 2 m
grade: -0.75 %
heart_rate: 104 bpm
left_pedal_smoothness: 18.0 percent
left_right_balance: 54
left_torque_effectiveness: 57.0 percent
position_lat: -303085101 semicircles
position_long: -587524814 semicircles
power: 59 watts
right_pedal_smoothness: 19.5 percent
right_torque_effectiveness: 64.0 percent
speed: 4.85 m/s
temperature: 15 C
timestamp: 2020-11-12 09:57:05

altitude: 944.8 m
ascent: 0 m
cadence: 42 rpm
calories: 2 kcal
distance: 268.74 m
enhanced_altitude: 944.8 m
enhanced_speed: 4.824 m/s
gps_accuracy: 2 m
grade: -0.78 %
heart_rate: 104 bpm
left_pedal_smoothness: 17.5 percent
left_right_balance: 55
left_torque_effectiveness: 56.0 percent
position_lat: -303085530 semicircles
position_long: -587524444 semicircles
power: 49 watts
right_pedal_smoothness: 15.0 percent
right_torque_effectiveness: 54.5 percent
speed: 4.824 m/s
temperature: 15 C
timestamp: 2020-11-12 09:57:06

altitude: 944.5999999999999 m
ascent: 0 m
cadence: 34 rpm
calories: 2 kcal
distance: 273.62 m
enhanced_altitude: 944.5999999999999 m
enhanced_speed: 4.719 m/s
gps_accuracy: 2 m
grade: -0.78 %
heart_rate: 104 bpm
left_pedal_smoothness: 20.0 percent
left_right_balance: 74
left_torque_effectiveness: 59.0 percent
position_lat: -303085938 semicircles
position_long: -587524080 semicircles
power: 33 watts
right_pedal_smoothness: 15.0 percent
right_torque_effectiveness: 54.0 percent
speed: 4.719 m/s
temperature: 16 C
